Invoice/Item Number,Date,Store Name,Address,City,Zip Code,County,Category Name,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,Bottles Sold,Sale,Volume Sold (Liters)
INV-43549900017,2022-01-05,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,BLENDED WHISKIES,LAIRD & COMPANY,23827,FIVE STAR,1000.0,4.4,12,79.2,12.0
INV-43691300046,2022-01-11,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,51104,WOODBURY,COCKTAILS /RTD,luxco inc,63522,salvadors original margarita 4pk,800.0,4.0,6,36.0,4.8
INV-43576700214,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,AMERICAN SCHNAPPS,jim beam brands,82605,dekuyper sour apple pucker pet,,6.5,4,39.0,3.0
INV-43671900111,2022-01-10,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,IMPORTED VODKAS,pernod ricard usa,34006,absolut swedish vodka 80prf,750.0,9.99,12,179.88,9.0
INV-43559200008,2022-01-05,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,CANADIAN WHISKIES,diageo americas,10807,crown royal regal apple,,,12,298.68,9.0
INV-43541500011,2022-01-05,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,JOHNSON,IMPORTED VODKAS,MHW LTD,37061,BROKEN SHED VODKA,750.0,12.5,6,112.5,4.5
INV-43543900091,2022-01-05,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411a,LINN,AMERICAN FLAVORED VODKA,luxco inc,76669,pearl vanilla bean,750.0,7.0,3,31.5,2.25
INV-43588500117,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,GOLD RUM,BACARDI USA INC,43038,BACARDI GOLD,,,2,45.0,3.5
INV-43625700066,2022-01-07,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501,WEBSTER,BLENDED WHISKIES,JIM BEAM BRANDS,27544,RED STAG BLACK CHERRY,750.0,11.0,12,198.0,9.0
INV-43555700191,2022-01-05,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,SCOTCH WHISKIES,edrington group usa llc,4936,famous grouse scotch,750.0,12.03,3,54.15,2.25
INV-43576700058,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,AMERICAN DRY GINS,pernod ricard usa,32235,seagrams extra dry gin pet,750.0,7.49,5,56.2,3.75
INV-43544100106,2022-01-05,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,TEMPORARY & SPECIALTY PACKAGES,goamericago beverages llc / whistlepig,15206,farmstock iowa batch,750.0,32.49,12,584.88,9.0
INV-43593200010,2022-01-07,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036,BOONE,BLENDED WHISKIES,western spirits beverage,26162,bird dog blackberry mini,50.0,5.0,12,90.0,0.6
